2a08 2990 2918 28a0 2828 27b0 2738 26c0 2648 25d0 2558 24e0 2468 23f0 2378 2300
b108 af90 ae18 aca0 ab28 a9b0 a838 a6c0 a548 a3d0 a258 a0e0 9f68 9df0 9c78 9b00
13808 13590 13318 130a0 12e28 12bb0 12938 126c0 12448 121d0 11f58 11ce0 11a68 117f0 11578 11300
1bf08 1bb90 1b818 1b4a0 1b128 1adb0 1aa38 1a6c0 1a348 19fd0 19c58 198e0 19568 191f0 18e78 18b00
24608 24190 23d18 238a0 23428 22fb0 22b38 226c0 22248 21dd0 21958 214e0 21068 20bf0 20778 20300
2cd08 2c790 2c218 2bca0 2b728 2b1b0 2ac38 2a6c0 2a148 29bd0 29658 290e0 28b68 285f0 28078 27b00
35408 34d90 34718 340a0 33a28 333b0 32d38 326c0 32048 319d0 31358 30ce0 30668 2fff0 2f978 2f300
3db08 3d390 3cc18 3c4a0 3bd28 3b5b0 3ae38 3a6c0 39f48 397d0 39058 388e0 38168 379f0 37278 36b00
46208 45990 45118 448a0 44028 437b0 42f38 426c0 41e48 415d0 40d58 404e0 3fc68 3f3f0 3eb78 3e300
4e908 4df90 4d618 4cca0 4c328 4b9b0 4b038 4a6c0 49d48 493d0 48a58 480e0 47768 46df0 46478 45b00
57008 56590 55b18 550a0 54628 53bb0 53138 526c0 51c48 511d0 50758 4fce0 4f268 4e7f0 4dd78 4d300
5f708 5eb90 5e018 5d4a0 5c928 5bdb0 5b238 5a6c0 59b48 58fd0 58458 578e0 56d68 561f0 55678 54b00
67e08 67190 66518 658a0 64c28 63fb0 63338 626c0 61a48 60dd0 60158 5f4e0 5e868 5dbf0 5cf78 5c300
70508 6f790 6ea18 6dca0 6cf28 6c1b0 6b438 6a6c0 69948 68bd0 67e58 670e0 66368 655f0 64878 63b00
78c08 77d90 76f18 760a0 75228 743b0 73538 726c0 71848 709d0 6fb58 6ece0 6de68 6cff0 6c178 6b300
81308 80390 7f418 7e4a0 7d528 7c5b0 7b638 7a6c0 79748 787d0 77858 768e0 75968 749f0 73a78 72b00
